lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-0.78,133.05,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.17,133.83,201,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.44,132.91,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-1.33,132.91,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.37,132.34,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.60,132.95,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.73,131.76,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.55,131.83,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.76,133.31,40,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.18,133.01,47,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.80,132.81,10,4.4,Irian Jaya Region - Indonesia,,,,,,
-0.50,132.86,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.55,132.89,45,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.41,132.84,10,4.1,Irian Jaya Region - Indonesia,,,,,,
-0.67,132.94,19,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.78,133.04,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-2.83,136.38,23,5.3,Irian Jaya Region - Indonesia,,,,,,
-0.32,133.06,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.73,133.40,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.74,132.24,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.82,132.34,5,4.4,Irian Jaya Region - Indonesia,,,,,,
-0.86,133.11,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.64,132.74,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.60,133.29,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.52,132.03,10,4.4,Irian Jaya Region - Indonesia,,,,,,
-0.77,133.29,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.59,133.21,10,5.2,Irian Jaya Region - Indonesia,,,,,,
1.25,132.91,10,5.4,Irian Jaya Region - Indonesia,,,,,,
-0.50,133.71,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.58,133.18,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-4.01,133.66,9,4.3,Irian Jaya Region - Indonesia,,,,,,
